id,image_id,caption
Digital Scholarship in the Humanities-546,Digital Scholarship in the Humanities-546-fig15,Evolution of the average number of keypresses required to transcribe a line. Working weeks correspond to the period: week 40 (from 30 September to 6 October) of 2013 to week 03 (from 13 January to 19 January) of 2014
Digital Scholarship in the Humanities-546,Digital Scholarship in the Humanities-546-fig16,Evolution of the average time spent transcribing a line. Working weeks correspond to the period: week 40 (from 30 September to 6 October) of 2013 to week 03 (from 13 January to 19 January) of 2014
Digital Scholarship in the Humanities-546,Digital Scholarship in the Humanities-546-fig17,Average WER after transcribing each text line image. WERr: user against supertranscriber; WERs: system against supertranscriber; WERu: user against system
Digital Scholarship in the Humanities-546,Digital Scholarship in the Humanities-546-fig18,Average CER after transcribing each text line image. CERr: user against supertranscriber; CERs: system against supertranscriber; CERu: user against system
Digital Scholarship in the Humanities-546,Digital Scholarship in the Humanities-546-fig19,Average number of keystrokes required to transcribe each text line image
Digital Scholarship in the Humanities-546,Digital Scholarship in the Humanities-546-fig20,Average time spent transcribing each text line image
Digital Scholarship in the Humanities-547,Digital Scholarship in the Humanities-547-fig1,System architecture
Digital Scholarship in the Humanities-548,Digital Scholarship in the Humanities-548-fig1,Sheridan’s (1780: p. 5) notation system for vowels and consonants11
Digital Scholarship in the Humanities-548,Digital Scholarship in the Humanities-548-fig2,ECEP online interface—homepage
Digital Scholarship in the Humanities-548,Digital Scholarship in the Humanities-548-fig3,ECEP online interface—works in Browse layout
Digital Scholarship in the Humanities-548,Digital Scholarship in the Humanities-548-fig4,ECEP online interface—authors in Browse layout
Digital Scholarship in the Humanities-548,Digital Scholarship in the Humanities-548-fig5,ECEP online interface—lexical sets in Search layout
Digital Scholarship in the Humanities-548,Digital Scholarship in the Humanities-548-fig6,ECEP online interface—lexical sets in Browse layout
Digital Scholarship in the Humanities-549,Digital Scholarship in the Humanities-549-fig1,AUC-ROC curves for first-order similarity measures with various aggregation functions
Digital Scholarship in the Humanities-549,Digital Scholarship in the Humanities-549-fig2,"Recall–precision curves for four first-order similarity measures and four second-order similarity measures, based on 250 trials of ten documents each"
Digital Scholarship in the Humanities-549,Digital Scholarship in the Humanities-549-fig3,AUC-ROC values averaged over 250 trials for first-order measures and corresponding second-order measures
Digital Scholarship in the Humanities-549,Digital Scholarship in the Humanities-549-fig4,"AUC-ROC values averaged over 250 trials for first-order min–max similarity and sim2 using min–max as a base, for ten, twenty, and fifty documents, respectively"
Digital Scholarship in the Humanities-549,Digital Scholarship in the Humanities-549-fig5,"AUC-ROC values averaged over 220 trials for first-order min–max similarity and two second-order similarity measures, using min–max as a base"
Digital Scholarship in the Humanities-550,Digital Scholarship in the Humanities-550-fig1,"The iterative crowd-authoring process (Al Lily, 2015)"
Digital Scholarship in the Humanities-552,Digital Scholarship in the Humanities-552-fig1,Attributions with mf1w
Digital Scholarship in the Humanities-552,Digital Scholarship in the Humanities-552-fig2,Attribution with mf3c
Digital Scholarship in the Humanities-552,Digital Scholarship in the Humanities-552-fig3,"Attribution of STM, 1911 edition without additions"
Digital Scholarship in the Humanities-552,Digital Scholarship in the Humanities-552-fig4,"Survey of attribution percentages in Greg’s 1911 edition with mf1w, mf2c, and mf3c"
Digital Scholarship in the Humanities-552,Digital Scholarship in the Humanities-552-fig5,Attributions arising from classification summaries of STM (Greg’s 1911 edition)
Digital Scholarship in the Humanities-552,Digital Scholarship in the Humanities-552-fig6,"Attributions in STM, Greg’s 1911 edition without additions, MF3C"
Digital Scholarship in the Humanities-552,Digital Scholarship in the Humanities-552-fig7,Classifiers and their attributions in STM
Digital Scholarship in the Humanities-552,Digital Scholarship in the Humanities-552-fig8,Closest stylistic relations of STM (mf1w)
Digital Scholarship in the Humanities-552,Digital Scholarship in the Humanities-552-fig9,Closest stylistic relations of STM (mf3c)
Digital Scholarship in the Humanities-553,Digital Scholarship in the Humanities-553-fig1,A visual explanation of how the extraction through queries works. Please note that the example query is not part of the actual set
Digital Scholarship in the Humanities-553,Digital Scholarship in the Humanities-553-fig2,Example of an XPath query and a matching subtree. The initial node searched for is a modifying (@rel=“mod”) prepositional phrase (@cat=“pp”). A modifying phrase is an optional phrase that qualifies another constituent
Digital Scholarship in the Humanities-555,Digital Scholarship in the Humanities-555-fig1,"Delta results isolating gender (rather than period). Male authors are on the left and female authors are on the right. C_ precedes contemporary, m_ denotes modernist, and v_ is Victorian. When tracing a path between two texts along the branches of the dendrogram, the closer those two texts are, the more stylistically similar they are; inversely, the further away those texts are—i.e. the longer the distance one must trace along the branches from one text to another—the less stylistically similar they are"
Digital Scholarship in the Humanities-555,Digital Scholarship in the Humanities-555-fig2,"Zeta results isolating period (rather than gender). Left is the Victorian set, center is the modernist set, and right is the contemporary set. Preferred female ‘markers’ are in circular, and avoided female ‘antimarkers’ are represented as triangles"
Digital Scholarship in the Humanities-555,Digital Scholarship in the Humanities-555-fig3,"Zeta results isolating gender (rather than period). Male sets on the left and female sets on the right. Circular points are Victorian, triangular are contemporary, and crosses are modernist markers"
Digital Scholarship in the Humanities-555,Digital Scholarship in the Humanities-555-fig4,"Delta results with the custom wordlists applied. Again, m_ precedes the male texts and f_ the female ones"
Digital Scholarship in the Humanities-557,Digital Scholarship in the Humanities-557-fig1,Description of the processes of selection and analysis of the literary corpus
Digital Scholarship in the Humanities-557,Digital Scholarship in the Humanities-557-fig2,"Percentage of literary works mentioning the wolf in each of the different time periods of publication (Tp). The total number of literary works was, respectively, 57, 63, and 76 for the Tp1, Tp2, and Tp3 periods"
Digital Scholarship in the Humanities-557,Digital Scholarship in the Humanities-557-fig3,Number of wolf literary representations by time period of publication (Tp) and time period of narrative (Tn)
Digital Scholarship in the Humanities-557,Digital Scholarship in the Humanities-557-fig4,Relative frequency of each category per literary representations in the three time periods of narrative (Tn)
Digital Scholarship in the Humanities-557,Digital Scholarship in the Humanities-557-fig5,Mean richness and 95% Cl (a) and mean diversity and 95% Cl (b) of categories for each different time period (Tn)
Digital Scholarship in the Humanities-557,Digital Scholarship in the Humanities-557-fig6,"Scatter plot of Correspondence Analysis results with categories (triangles, n = 12) and literary representations (dots, n = 68)"
Digital Scholarship in the Humanities-557,Digital Scholarship in the Humanities-557-fig7,Distribution by NUTS 3 of the literary works in the database compared to the wolf literary representations in corpus
Digital Scholarship in the Humanities-557,Digital Scholarship in the Humanities-557-fig8,"Distribution by NUTS 3 of the wolf literary representations per different groups of categories: G1 (LAND, ENCOUNT and PERS), G2 (BIOL, DOMEST, USES, ETHICS, and FEAR) and G3 (COMP, SUPER, ASSOC, FOLK)"
Digital Scholarship in the Humanities-557,Digital Scholarship in the Humanities-557-fig9,"Distribution by NUTS 3 of the wolf literary representations with G1 categories (LAND, ENCOUNT and PERS) throughout time"
Digital Scholarship in the Humanities-558,Digital Scholarship in the Humanities-558-fig1,Annotation problem caused by variant form call’d
Digital Scholarship in the Humanities-558,Digital Scholarship in the Humanities-558-fig2,Comparison of normalized and original input to the annotation chain
Digital Scholarship in the Humanities-558,Digital Scholarship in the Humanities-558-fig3,"Distribution of grouped POS tags (JJx: adjectives, NNx: nouns, RBx: adverbs, VBx: verbs, X axis indicates number of tags)"
Digital Scholarship in the Humanities-558,Digital Scholarship in the Humanities-558-fig4,Syntactic analysis with original spelling and normalized spelling
Digital Scholarship in the Humanities-558,Digital Scholarship in the Humanities-558-fig5,"F-Score performance of the baseline system, by century and syntactic relation"
Digital Scholarship in the Humanities-558,Digital Scholarship in the Humanities-558-fig6,Precision and recall of improved parser (striped) and baseline parser (grey)
Digital Scholarship in the Humanities-558,Digital Scholarship in the Humanities-558-fig7,Absolute and relative frequency of gerundials with subjects in ZEN
Digital Scholarship in the Humanities-558,Digital Scholarship in the Humanities-558-fig8,Perfect auxiliary be and have with come in the ZEN corpus. n = 152
Digital Scholarship in the Humanities-559,Digital Scholarship in the Humanities-559-fig1,UML model for fragment interpretation in the LdoD Archive
Digital Scholarship in the Humanities-559,Digital Scholarship in the Humanities-559-fig2,UML model for fragment transcription in the LdoD Archive
Digital Scholarship in the Humanities-559,Digital Scholarship in the Humanities-559-fig3,UML model for virtual editions in the LdoD Archive
Digital Scholarship in the Humanities-560,Digital Scholarship in the Humanities-560-fig1,"Score plot of the first two components of the PCA model for the WF data set (▪ Giacosa corpus, ▾ Illica corpus, and • Illica–Giacosa corpus)"
Digital Scholarship in the Humanities-560,Digital Scholarship in the Humanities-560-fig2,"Score plot of the first two components of the PCA model for the WF data set (▴ Giacosa corpus, ▪ other authors opera librettos: A corpus)"
Digital Scholarship in the Humanities-560,Digital Scholarship in the Humanities-560-fig3,"Loadings of the first two components of the PCA model for the WF data set (-▪ second component, -• first component)"
Digital Scholarship in the Humanities-560,Digital Scholarship in the Humanities-560-fig4,"Score plot of the first two components of the PCA model for the function word data set (▪ Giacosa corpus, ▾ Illica corpus, and • Illica–Giacosa corpus)"
Digital Scholarship in the Humanities-560,Digital Scholarship in the Humanities-560-fig5,"Loadings of the first two components of the PCA model for the function word data set (-▪ second component, -• first component)"
Digital Scholarship in the Humanities-560,Digital Scholarship in the Humanities-560-fig6,"Score plot of the first two components of the PCA model for the word length data set (▴ Giacosa corpus, ▪ other authors opera librettos: A corpus)"
Digital Scholarship in the Humanities-560,Digital Scholarship in the Humanities-560-fig7,"Score plot of the first two components of the PCA model for the word length data set (▪ Giacosa corpus, ▾ Illica corpus, and • Illica–Giacosa corpus)"
Digital Scholarship in the Humanities-560,Digital Scholarship in the Humanities-560-fig8,"Z-K scatter plot for the WF data set (▪ Giacosa corpus, ▾ Illica corpus, and • Illica–Giacosa corpus)"
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig1,"Schematic representation of the tokenization (left), alignment (middle), and analysis (right) phases of a collation workflow"
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig2,Trivial case of transposition
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig3,Less trivial case of transposition
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig4,"Document-to-document matrix applied as a match table, cells representing tokens coinciding between two witnesses are marked (‘scored’) in this case with dots"
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig5,"a(left), and b (right): Unrealistic alignment conclusion (a) versus natural, elegant, or reader’s common sense solution (b)"
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig6,"a(left), b (center), and c (right)"
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig7,Vectors describing alignment of two witnesses in a document-by-document matrix
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig8,"a (left), b (center), and c (right): Storing alignment results using a variant graph"
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig9,Capturing a transposition in a variant graph
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig10,Visualization of multiple witness comparison using a 3D matching matrix
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig11,Variant graph recording a variant that is either a deletion in witness ‘u’ or an addition in witness ‘v’
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig12,Usual blueprint for Apache Cocoon architecture-based web services
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig13,Blueprint of the integrated Apache Cocoon and CollateX architecture-based web service for the Beckett Digital Manuscript Project
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig14,The Beckett Digital Manuscript Project
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig15,Synoptic survey of various version of one textual segment in the Beckett Digital Manuscript Project
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig16,Conceptual CollateX variant graph capturing genetic stages of authoring
Digital Scholarship in the Humanities-561,Digital Scholarship in the Humanities-561-fig17,Conceptual CollateX variant graph capturing genetic stages of authoring as well as witness variation
Digital Scholarship in the Humanities-562,Digital Scholarship in the Humanities-562-fig1,"Dendrogram produced by Ward clustering of the data in Table 1, with our comments added at the right. Horizontal position of the crossbar indicates similarity; thus, NEB and REB are more similar to each other than GNT and Jerusalem"
Digital Scholarship in the Humanities-563,Digital Scholarship in the Humanities-563-fig1,Regular expression for shallow analysis
Digital Scholarship in the Humanities-563,Digital Scholarship in the Humanities-563-fig2,Normalized figure of acronyms count per file based on the regular expression of Fig. 1
Digital Scholarship in the Humanities-563,Digital Scholarship in the Humanities-563-fig3,List of occurrences final format
Digital Scholarship in the Humanities-563,Digital Scholarship in the Humanities-563-fig4,Acronym ‘ΚΣΤΕΕ’
Digital Scholarship in the Humanities-563,Digital Scholarship in the Humanities-563-fig5,Acronym ‘ΣΕΛΕΤΕ’
Digital Scholarship in the Humanities-563,Digital Scholarship in the Humanities-563-fig6,Acronym ‘ΥΠΕΠΘ’
Digital Scholarship in the Humanities-564,Digital Scholarship in the Humanities-564-fig1,Genre distribution in LEON 0.3
Digital Scholarship in the Humanities-564,Digital Scholarship in the Humanities-564-fig2,Clause types co-occurring with Old English wearð and wæs
Digital Scholarship in the Humanities-564,Digital Scholarship in the Humanities-564-fig3,Diachronic distribution of happen-constructions
Digital Scholarship in the Humanities-564,Digital Scholarship in the Humanities-564-fig4,Correlation of subject control to construction type
Digital Scholarship in the Humanities-564,Digital Scholarship in the Humanities-564-fig5,Correlation between subject control and construction type in Alphabet of Tales
Digital Scholarship in the Humanities-565,Digital Scholarship in the Humanities-565-fig1,Clause combination and the distribution of cohesive devices
Digital Scholarship in the Humanities-565,Digital Scholarship in the Humanities-565-fig2,Genre differences in cohesion ad clause combination
Digital Scholarship in the Humanities-565,Digital Scholarship in the Humanities-565-fig3,Cohesion management hierarchy
Digital Scholarship in the Humanities-566,Digital Scholarship in the Humanities-566-Fig.1,"(A) MNSyllableType distribution in PG approximates the Weibull distribution. (B) MNSyllableToken distribution in PG is closer to the lognormal distribution. (C) The linear relationship between MNSyllableType and MLengthType. (D) The linear relationship between MNSyllableToken and MLengthToken. (E) The distribution of the largest number of syllables is closer to that of largest extreme value distribution fit line (solid line). (F) Probability plot of the largest number of syllables (location = 6.153, scale = 0.8908, P < 0.01)"
Digital Scholarship in the Humanities-566,Digital Scholarship in the Humanities-566-fig2,"(A) Plot of MNSyllableType of the first 45,610 word tokens from the ten greatest women writers' works (e.g. Austen-6 1810s denotes Austen’s six works published in the 1810s: 1814 Mansfield Park, 1818 Northanger Abbey, 1815 Emma, 1818 Persuasion, 1811 Sense and Sensibility, 1813 Pride and Prejudice. (B) Plot of MNSyllableType of the first 1,000 word tokens from all the US presidential inaugural addresses."
Digital Scholarship in the Humanities-568,Digital Scholarship in the Humanities-568-fig1,"Histograms of shot length data for Little Annie Rooney (without titles) on an
              arithmetic scale with fitted lognormal distribution Log-N ∼ (1.2078,
                0.73042) (top) and on a logarithmic scale with fitted normal distribution N ∼ (1.2078, 0.73042) (bottom). Source: http://www.cinemetrics.lv/movie.php?movie_ID=6692 (accessed 27 January
              2011)"
Digital Scholarship in the Humanities-568,Digital Scholarship in the Humanities-568-fig2,Normal probability plots of log-transformed shot lengths for eight films
Digital Scholarship in the Humanities-568,Digital Scholarship in the Humanities-568-fig3,"Histogram of log-transformed shot lengths in The Apartment with fitted normal
                distribution N ∼ (2.2241, 1.06422)"
Digital Scholarship in the Humanities-568,Digital Scholarship in the Humanities-568-fig4,"Histogram of log-transformed shot lengths in Barry Lyndon with fitted normal
                distribution N ∼ (2.3138, 0.79652)"
Digital Scholarship in the Humanities-568,Digital Scholarship in the Humanities-568-fig5,"Histogram of log-transformed shot lengths in Blood on the Sun with fitted normal
                distribution N ∼ (2.2992, 0.86242)"
Digital Scholarship in the Humanities-570,Digital Scholarship in the Humanities-570-fig1,‘In Pursuit to Algiers’ is a poor fit for a lognormal distribution. (a and b) show grouped values differing from the idealized distribution (dashed line). (c) The Q-Q plot reveals consistent deviation from the expected value line
Digital Scholarship in the Humanities-570,Digital Scholarship in the Humanities-570-fig2,"While clearly not a perfect fit, ‘Barry Lyndon’ satisfies Redfern’s criteria of lognormality"
Digital Scholarship in the Humanities-570,Digital Scholarship in the Humanities-570-fig3,"‘Three Days of the Condor’ appears to be a good fit for a lognormal distribution; however, investigation of (b and c) shows that the lowest shot lengths are not as prevalent as expected in a lognormal distribution"
Digital Scholarship in the Humanities-570,Digital Scholarship in the Humanities-570-fig4,"The number of ultrashort shots for all 134 films, grouped together by length in frames. Films are much more likely to have shots that are longer than 12 frames (500 ms), possibly driven owing to perceptual demands for a minimum shot length"
Digital Scholarship in the Humanities-570,Digital Scholarship in the Humanities-570-fig5,"Q-Q plots from a single simulated film generated from average database statistics. (a) shows a perfect lognormal distribution, while (b) shows what happens to the graph when shots shorter than 12 frames (500 ms) are removed. It is worth noting the similarity between the distribution of ‘Three Days of the Condor’ (Fig. 3b) and Fig. 5b"
Digital Scholarship in the Humanities-570,Digital Scholarship in the Humanities-570-fig6,"Scatterplot showing the relationship between median and geometric mean. Redfern argues that the ‘large discrepancies’ between the two values are evidence against using the lognormal distribution; however, checking the relationship between these two measures shows a significant correlation. While it is true that the two metrics do not perfectly translate, they are clearly related"
Digital Scholarship in the Humanities-570,Digital Scholarship in the Humanities-570-fig7,"Distribution graphs showing every shot (normed by each film’s average shot length) for each of the 134 films. (b) especially highlights that the distribution is slightly positively skewed (γ3 = 0.31 for log-transformed shots) than a perfect lognormal distribution; however, the resemblance is uncanny"
Digital Scholarship in the Humanities-571,Digital Scholarship in the Humanities-571-fig1,Mean sentence length according to ‘language’
Digital Scholarship in the Humanities-571,Digital Scholarship in the Humanities-571-fig2,Number of bigrams whose PMI is above threshold according to ‘language’
Digital Scholarship in the Humanities-571,Digital Scholarship in the Humanities-571-fig3,The average number of the POS trigram modal + verb base form + participle in O and ten Ts
Digital Scholarship in the Humanities-572,Digital Scholarship in the Humanities-572-fig1,Syntactic tree graph. The tree graph highlights syntactic dependencies that occur before and after personal names (main features of this study)
Digital Scholarship in the Humanities-572,Digital Scholarship in the Humanities-572-fig2,"Distribution of reviews containing personal names over sixty-two authors. The x-axis reflects the number of reviews that include personal names. The histogram indicates that more than half of the reviewers (forty-five) use at least one reference to a personal name in the majority of their reviews (900–1,000)"
Digital Scholarship in the Humanities-572,Digital Scholarship in the Humanities-572-fig3,"Distribution of sentences containing personal names over sixty-two authors. The x-axis reflects the number of sentences that contain personal names. The histogram indicates that the majority of the reviewers (forty-four) use between 2,000 and 8,000 sentences that contain references to personal names"
Digital Scholarship in the Humanities-572,Digital Scholarship in the Humanities-572-fig4,"Distribution of personal names over sixty-two authors. The x-axis reflects the number of personal names in reviews. The histogram indicates that the majority of the reviewers use between 5,000 and 20,000 references to personal names"
Digital Scholarship in the Humanities-572,Digital Scholarship in the Humanities-572-fig5,Averaged attribution performance with 50–200 reviews in test and 100–450 reviews in training that contain at least one personal name. The line graph indicates that the best predictive results are achieved with 250 reviews in training and between 150 and 200 reviews in test and also with 300 reviews in training and between 150 and 200 reviews in test
Digital Scholarship in the Humanities-572,Digital Scholarship in the Humanities-572-fig6,"(a–d) Distribution of attribution performance with 50–200 reviews in test and 100–450 reviews in training that contain at least one personal name—averaged over ten random samples. This bar graph indicates that the optimal performance is achieved with 250 reviews and more (up to 450) in training and 100 reviews in test and more (up to 200). This number of reviews translates into approximately 1,500 named entity sentences or more in training and approximately 900 named entity sentences or more in test"
Digital Scholarship in the Humanities-572,Digital Scholarship in the Humanities-572-fig7,"Averaged attribution performance with 5–45 reviews in test and 100–400 reviews in training that contain at least one personal name. The line graph indicates that although increasing the number of reviews in training from 100 to 200 improves predictive performance of this method, further increases in the number of reviews in training is accompanied with only a small impact on performance. Increasing the number of reviews in test from 5 to 45, however, is accompanied by a much larger impact on predictive performance: the average rank increases from 10–12 to 2"
Digital Scholarship in the Humanities-572,Digital Scholarship in the Humanities-572-fig8,(a–d) Distribution of attribution performance with 5–45 reviews in test and 100–400 reviews in training using reviews that contain at least one personal name—averaged over ten random samples. The bar graph indicates that the number of authors who are top matched increases as the number of reviews in test increases from 5 to 45 in test and from 100 to 400 in training
Digital Scholarship in the Humanities-572,Digital Scholarship in the Humanities-572-fig9,"The relationship between average rank and the number of named entity sentences. The scatter plot shows how increasing the number of sentences from 10 to 1,000 in test increases the average rank. The best performance (of rank 1) is achieved with approximately 1,000 sentences in test set"
Digital Scholarship in the Humanities-572,Digital Scholarship in the Humanities-572-fig10,The relationship between standard deviation of sixty-two individual writing styles with regard to the use of syntactic dependencies that surround personal names and the average rank. The scatter plot suggests that a more variable (less consistent) authorship style (higher average standard deviation) tends to decrease system performance (the average rank)
Digital Scholarship in the Humanities-573,Digital Scholarship in the Humanities-573-fig1,Screen capture of the Neurolingo morphological lexicon editor
Digital Scholarship in the Humanities-573,Digital Scholarship in the Humanities-573-fig2,Screen capture of morphological analysis results
Digital Scholarship in the Humanities-573,Digital Scholarship in the Humanities-573-fig3,Structural analysis performed by the lexical parser
Digital Scholarship in the Humanities-573,Digital Scholarship in the Humanities-573-fig4,Patterns of lexical ambiguity
Digital Scholarship in the Humanities-573,Digital Scholarship in the Humanities-573-fig5,Quantitative results of lexical ambiguity
Digital Scholarship in the Humanities-575,Digital Scholarship in the Humanities-575-fig1,From textual prosopography to structured prosopography: an example of how Martindale’s text could be represented using factoids
Digital Scholarship in the Humanities-575,Digital Scholarship in the Humanities-575-fig2,Conceptual representation of Factoids by mean of Interpretations
Digital Scholarship in the Humanities-575,Digital Scholarship in the Humanities-575-fig3,Structure of the E13 Attribute Assignment class in CIDOC-CRM Note: In this and the following figures dashed isA arrows indicate that the subsumption hierarchy is partially omitted.
Digital Scholarship in the Humanities-575,Digital Scholarship in the Humanities-575-fig4,Mapping the factoid model to CIDOC-CRM primitives
Digital Scholarship in the Humanities-575,Digital Scholarship in the Humanities-575-fig5,Extending the factoid model: representation of transactions in the feudalism ontology
Digital Scholarship in the Humanities-576,Digital Scholarship in the Humanities-576-fig1,"A plot of the geometric mean against median for 134 films (as used in Redfern, 2012, from the database of Cutting et al., 2010). The reference line is that about which points should lie if the lognormal model was generally applicable"
Digital Scholarship in the Humanities-576,Digital Scholarship in the Humanities-576-fig2,A plot of skewness against kurtosis for the log-transformed data of 134 films. See the text for a discussion of the shading used
Digital Scholarship in the Humanities-576,Digital Scholarship in the Humanities-576-fig3,A plot of skewness against kurtosis for the doubly transformed data of 134 films. See the text for a discussion of the shading used
Digital Scholarship in the Humanities-581,Digital Scholarship in the Humanities-581-fig1,The Umeå University Arts Campus (Credit: Anna Misharina)
Digital Scholarship in the Humanities-581,Digital Scholarship in the Humanities-581-fig2,Infrastructure timeline (Credit: Anna Misharina)
Digital Scholarship in the Humanities-581,Digital Scholarship in the Humanities-581-fig3,3D model of HumlabX (Credit: Johan Von Boer)
Digital Scholarship in the Humanities-581,Digital Scholarship in the Humanities-581-fig4,Surround and Auro 3D (Credit: Anna Misharina)
Digital Scholarship in the Humanities-582,Digital Scholarship in the Humanities-582-fig1,Resolution values for all extant Euripedean plays arranged in relative chronological order
Digital Scholarship in the Humanities-582,Digital Scholarship in the Humanities-582-fig2,"PCA analysis of our corpus including texts by Aeschylus, Sophocles, Euripides (1st group), Aristophanes, [Lycophron’s] Alexandra, and the disputed Rhesus"
Digital Scholarship in the Humanities-582,Digital Scholarship in the Humanities-582-fig3,"PCA analysis of our corpus including texts by Aeschylus, Sophocles, Euripides (2nd group), Aristophanes, [Lycophron’s] Alexandra, and the disputed Rhesus"
Digital Scholarship in the Humanities-582,Digital Scholarship in the Humanities-582-fig4,"PCA analysis of our corpus including texts by Aeschylus, Sophocles, Euripides (3rd group), Aristophanes, [Lycophron’s] Alexandra, and the disputed Rhesus"
Digital Scholarship in the Humanities-582,Digital Scholarship in the Humanities-582-fig5,Analysis of Rhesus using an intrinsic plagiarism detection method
Digital Scholarship in the Humanities-583,Digital Scholarship in the Humanities-583-fig1,"A search for mentions of various infectious diseases (cholera, whooping cough, consumption, and measles) across the 60,000-book data set. We compared the profound spikes for cholera in the data set with known data regarding epidemics in the UK (Chadwick, 1842; Wall, 1893) which appear as the bars on the graph, showing a relationship between the first major UK outbreak of cholera and its appearance within the written record of the time (in 1831–32), and again with the second UK epidemic (1848–49). Later outbreaks (1853–54 and 1863) do not see this same correlation. There are further pronounced spikes for mentions of cholera in the1870s and 1880s: these are not associated with UK epidemics, but there were outbreaks in the USA and elsewhere. Identifying the texts that refer to these outbreaks allows us to look more closely at these clusters and to understand the relationship between public health, epidemiology, and the published historical record"
Digital Scholarship in the Humanities-583,Digital Scholarship in the Humanities-583-fig2,"A search for figures between 1750 and 1850, plotted according to the size of each figure in relation to the size of the page"
Digital Scholarship in the Humanities-583,Digital Scholarship in the Humanities-583-fig3,"A search for figures in A new and complete System of Modern Geography, two volumes (Mackenzie, 1817) plotted by page (x-axis), percentage of page the each figure occupies (y-axis), and separated by volume"
Digital Scholarship in the Humanities-584,Digital Scholarship in the Humanities-584-fig1,"Dendrograms obtained on the basis of movement distances, indel distances, and trigram distances. The tree structures explain respectively 96.2%, 83.9%, and 97.4% of the variance in the original distances"
Digital Scholarship in the Humanities-584,Digital Scholarship in the Humanities-584-fig2,"MDS plots obtained on the basis of movement distances, indel distances, and trigram distances. The plots explain respectively 99.3%, 98.9%, and 99.1% of the variance in the original distances"
Digital Scholarship in the Humanities-584,Digital Scholarship in the Humanities-584-fig3,"Asymmetries in movement, indel, and trigram distances. An arrow from language A to language B predicts that the native speakers of language A significantly more easily understand language B, than native speakers of language B understand language A. Asymmetries are significant at least at α = 0.05"
Digital Scholarship in the Humanities-584,Digital Scholarship in the Humanities-584-fig4,"Scatterplots showing the correlations between movement measures, indel measures, and trigram measures"
Digital Scholarship in the Humanities-585,Digital Scholarship in the Humanities-585-fig1,"Simplified database schema, showing main tables and row counts (as in February 2013)"
Digital Scholarship in the Humanities-585,Digital Scholarship in the Humanities-585-fig2,Form for entering and editing a translation aligned with the prose word order
Digital Scholarship in the Humanities-585,Digital Scholarship in the Humanities-585-fig3,Form for entering and editing variant apparatus
Digital Scholarship in the Humanities-585,Digital Scholarship in the Humanities-585-fig4,"Section of website showing interactive edited stanza (unpublished, but for a similar examples see abdn.ac.uk/skaldic/bm.php?353—accessed 18 June 2013)"
Digital Scholarship in the Humanities-585,Digital Scholarship in the Humanities-585-fig5,Places mentioned in the skaldic corpus. The size of dots is proportional to the number of references to the place (See: abdn.ac.uk/skaldic/db-map.php?id=174 –accessed 18 June 2013)
Digital Scholarship in the Humanities-585,Digital Scholarship in the Humanities-585-fig6,Sample of stanza exported for printed book
Digital Scholarship in the Humanities-585,Digital Scholarship in the Humanities-585-fig7,Plot of stanzas according to date and word frequency (generated in R)
Digital Scholarship in the Humanities-585,Digital Scholarship in the Humanities-585-fig8,Example from the Runic Dictionary: inscriptions with the word drængr (abdn.ac.uk/skaldic/bm.php?352 –accessed 18 June 2013)
Digital Scholarship in the Humanities-587,Digital Scholarship in the Humanities-587-fig1,The Stormont Papers: Hansard home page
Digital Scholarship in the Humanities-587,Digital Scholarship in the Humanities-587-fig2,Co-ordination of the four components of SPHERE activity
Digital Scholarship in the Humanities-587,Digital Scholarship in the Humanities-587-fig3,An excerpt from the online web survey
Digital Scholarship in the Humanities-587,Digital Scholarship in the Humanities-587-fig4,Responses to question on how respondents became aware of the e-resource
Digital Scholarship in the Humanities-588,Digital Scholarship in the Humanities-588-fig1,"MS Wiesbaden, Landesbibliothek, 1, fol. 1r. (lost since 1945). Photo: Rheinisches Bildarchiv Köln 13321"
Digital Scholarship in the Humanities-588,Digital Scholarship in the Humanities-588-fig2,"MS Brussels, Royal Library, 5527–5534, fol. 141v. Epistula domine Hildegardis magistre cenobii sancti Roberti Pinguensis de excellentia beati Martini episcopi – ‘Letter of lady Hildegard, magistra of the monastery of saint Rupert in Bingen, on the excellence of the blessed bishop Martin’"
