,X,id,title,date,authors,affiliations,doi,journal
296,296,llc-296,"‘Counterfeiting’ Shakespeare: Evidence, Authorship and John Ford's Funerall Elegye.Brian Vickers. Cambridge: Cambridge University Press, 2002. 596 pp. ISBN 0-521-77243-5. £55.00 (hardback).",2006,Jonathan Hope,"Hope, Jonathan:University of Strathclyde, UK",https://doi.org/10.1093/llc/fqi012,LLC
297,297,llc-297,Optimal Strategies for Accurate Transcription,2005,Matthew Spencer; Christopher J. Howe,"Spencer, Matthew:University of Cambridge, UK;  Howe, Christopher J.:University of Cambridge, UK",https://doi.org/10.1093/llc/fqi030,LLC
298,298,llc-298,A New Approach to the Study of Translationese: Machine-learning the Difference between Original and Translated Text,2005,Marco Baroni; Silvia Bernardini,"Baroni, Marco:SSLMIT, University of Bologna;  Bernardini, Silvia:SSLMIT, University of Bologna",https://doi.org/10.1093/llc/fqi039,LLC
299,299,llc-299,Graphical Editor for Manuscripts,2005,Desmond Schmidt,"Schmidt, Desmond:University of Queensland, Brisbane, Australia",https://doi.org/10.1093/llc/fqi040,LLC
300,300,llc-300,The Evolution of Order in the Chapter Lengths of Trollope's Novels,2005,Peter Fink,"Fink, Peter:None",https://doi.org/10.1093/llc/fqi041,LLC
301,301,llc-301,A Small-Corpus-Based Approach to Alice's Roles,2005,Akiko Inaki; Tomoko Okita,"Inaki, Akiko:Otemon Gakuin University, Japan;  Okita, Tomoko:Osaka University, Japan",https://doi.org/10.1093/llc/fqi042,LLC
302,302,llc-302,Computing Error: Reassessing Austin's Study of Groatsworth of Wit,2005,Richard Westley,"Westley, Richard:English Instructor, Cheverus High School, Portland, Maine, USA",https://doi.org/10.1093/llc/fqi044,LLC
303,303,llc-303,"New Frontiers of Corpus Research. Papers from the Twenty First International Conference on English Language Research on Computerized Corpora. Sydney 2000 (Language and Computers: Studies in Practical Linguistics 36).Pam Peters, Peter Collins, and Adam Smith (eds). Amsterdam–New York, NY: Rodopi, 2002. 332 pp. ISBN 90-420-1237-4. $108/€80 (hardback).",2005,Merja Kytö,"Kytö, Merja:Uppsala University, Sweden",https://doi.org/10.1093/llc/fqi060,LLC
304,304,llc-304,"Corpora and Discourse. Proceedings of CamConf2002. Linguistic Insights 9. Studies in Language and Communication.Alan Partington, John Morley, and Louann Haarman (eds). Bern: Peter Lang., 2004. 420 pages. ISSN 1424-8689. ISBN 3-03910-026-2. US-ISBN 0-8204-6262-4.",2005,Nelleke Oostdijk,"Oostdijk, Nelleke:Radboud University, Nijmegen, The Netherlands",https://doi.org/10.1093/llc/fqi061,LLC
305,305,llc-305,Computerized Restoration of Historical Dictionaries: Uniformization and Date-assigning in Dictionary Quotations of the Woordenboek der Nederlandsche Taal,2005,Dirk Kinable,"Kinable, Dirk:Institute for Dutch Lexicology, Leiden, The Netherlands",https://doi.org/10.1093/llc/fqi062,LLC
306,306,llc-306,A Tool for Literary Studies: Intertextual Distance and Tree Classification,2005,Cyril Labbé; Dominique Labbé,"Labbé, Cyril:Grenoble I University, France;  Labbé, Dominique:Grenoble II University, France",https://doi.org/10.1093/llc/fqi063,LLC
307,307,llc-307,Cryogenics and Creativity: The Frankenstein Factor in Cultural Preservation,2005,Eileen Maitland; Cordelia Hall,"Maitland, Eileen:University of Glasgow;  Hall, Cordelia:University of Glasgow",https://doi.org/10.1093/llc/fqi064,LLC
308,308,llc-308,Design and Implementation of a Spelling Checker for Turkish,1993,AYSIN SOLAK; KEMAL OFLAZER,"SOLAK, AYSIN:Bilkent University  Turkey;  OFLAZER, KEMAL:Bilkent University  Turkey",https://doi.org/10.1093/llc/8.3.113,LLC
309,309,llc-309,Computer Editing of Medieval Manuscript Texts: A Caveat,1993,BERNADETTE A. MASTERS,"MASTERS, BERNADETTE A.:University of Sydney  Australia",https://doi.org/10.1093/llc/8.3.131,LLC
310,310,llc-310,A Comparison of Spelling-Correction Methods for the Identification of Word Forms in Historical Text Databases,1993,ALEXANDER M. ROBERTSON; PETER WILLETT,"ROBERTSON, ALEXANDER M.:University of Sheffield  UK;  WILLETT, PETER:University of Sheffield  UK",https://doi.org/10.1093/llc/8.3.143,LLC
311,311,llc-311,An ELT Database for Teachers and Learners: A Cross-Cultural Perspective,1993,KRISTINA BAUMANN; EDITH BUCHHOLZ; ANTJE DÜSTERHÖFT; MICHAELA PUDSCHUN,"BAUMANN, KRISTINA:University of Rostock  Germany;  BUCHHOLZ, EDITH:University of Rostock  Germany;  DÜSTERHÖFT, ANTJE:University of Rostock  Germany;  PUDSCHUN, MICHAELA:University of Rostock  Germany",https://doi.org/10.1093/llc/8.3.153,LLC
312,312,llc-312,"Report on the Fifth CATH Conference—CATH '92, Teaching with Computers: Experiences and Opportunities",1993,CHRISTINE MULLINGS,"MULLINGS, CHRISTINE:University of Oxford  UK",https://doi.org/10.1093/llc/8.3.160,LLC
313,313,llc-313,Representatives' Reports,1993,NA,NA,https://doi.org/10.1093/llc/8.3.163,LLC
314,314,llc-314,Reports from Colloquia at Tübingen,1993,NA,NA,https://doi.org/10.1093/llc/8.3.171,LLC
315,315,llc-315,Diary,1993,NA,NA,https://doi.org/10.1093/llc/8.3.180,LLC
316,316,llc-316,News and Notes,1993,NA,NA,https://doi.org/10.1093/llc/8.3.182,LLC
317,317,llc-317,Book Reviews,1993,S. Monsonégo,"Monsonégo, S.:(CNRS-INaLF)",https://doi.org/10.1093/llc/8.3.186-a,LLC
318,318,llc-318,Book Reviews,1993,S. Monsonégo,"Monsonégo, S.:(CNRS-INaLF)",https://doi.org/10.1093/llc/8.3.186a,LLC
319,319,llc-319,Documents Received,1993,NA,NA,https://doi.org/10.1093/llc/8.3.188,LLC
320,320,llc-320,INSTRUCTIONS TO AUTHORS,1993,NA,NA,https://doi.org/10.1093/llc/8.3.189,LLC
321,321,llc-321,Digitizing the act of papyrological interpretation: negotiating spurious exactitude and genuine uncertainty,2011,Ségolène M. Tarte,"Tarte, Ségolène M.:Oxford e-Research Centre, University of Oxford, UK",https://doi.org/10.1093/llc/fqr015,LLC
322,322,llc-322,"Present, not voting: Digital Humanities in the Panopticon: closing plenary speech, Digital Humanities 2010",2011,Melissa Terras,"Terras, Melissa:Reader in Electronic Communication, Department of Information Studies, University College London, UK",https://doi.org/10.1093/llc/fqr016,LLC
323,323,llc-323,Finding stories in the archive through paragraph alignment,2011,Weijia Xu; Maria Esteva,"Xu, Weijia:Texas Advanced Computing Center, University of Texas at Austin, Austin, TX, USA;  Esteva, Maria:Texas Advanced Computing Center, University of Texas at Austin, Austin, TX, USA",https://doi.org/10.1093/llc/fqr017,LLC
324,324,llc-324,Editorial,1997,M Deegan; S Lee,"Deegan, M:None;  Lee, S:None",https://doi.org/10.1093/llc/12.3.149,LLC
325,325,llc-325,Introduction,1997,AK Bowman; M Deegan,"Bowman, AK:None;  Deegan, M:None",https://doi.org/10.1093/llc/12.3.151,LLC
326,326,llc-326,Imaging of papyri: a strategic view,1997,RS Bagnall,"Bagnall, RS:Department of Classics, Columbia University, 606 Hamilton Hall, New York, NY 10027, USA",https://doi.org/10.1093/llc/12.3.153,LLC
327,327,llc-327,Advanced papyrological information system (APIS): the Michigan experience,1997,T Gagos,"Gagos, T:Department of Classics, Angell Hall, University of Michigan, Ann Arbor, MI 48103, USA",https://doi.org/10.1093/llc/12.3.155,LLC
328,328,llc-328,Imaging the carbonized papyri from Herculaneum,1997,D Obbink,"Obbink, D:University of Oxford, Christ Church, Oxford OX1 1DP, UK",https://doi.org/10.1093/llc/12.3.159,LLC
329,329,llc-329,Imaging inscriptions,1997,CV Crowther,"Crowther, CV:Centre for the Study of Ancient Documents, 67 St Giles, Oxford, UK",https://doi.org/10.1093/llc/12.3.163,LLC
330,330,llc-330,Imaging incised documents,1997,AK Bowman; JM Brady; RSO Tomlin,"Bowman, AK:None;  Brady, JM:None;  Tomlin, RSO:None",https://doi.org/10.1093/llc/12.3.169,LLC
331,331,llc-331,The Daidalos project,1997,R Kilpatrick; H Short; H Walda; G Waywell,"Kilpatrick, R:None;  Short, H:None;  Walda, H:None;  Waywell, G:None",https://doi.org/10.1093/llc/12.3.177,LLC
332,332,llc-332,The Electronic Beowulf and digital restoration,1997,A Prescott,"Prescott, A:Manuscripts Department, British Library, Great Russell Street, London WC1B 3DG, UK",https://doi.org/10.1093/llc/12.3.185,LLC
333,333,llc-333,Digital imaging and the manuscripts of The Canterbury Tales,1997,M Pidd; P Robinson; E Stubbs; CE Thomson,"Pidd, M:None;  Robinson, P:None;  Stubbs, E:None;  Thomson, CE:None",https://doi.org/10.1093/llc/12.3.197,LLC
334,334,llc-334,Book reviews,1997,Various,"Various, :None",https://doi.org/10.1093/llc/12.3.203,LLC
335,335,llc-335,The concept of evolution in the Origin of Species: a computer-assisted analysis,2011,Maxime B. Sainte-Marie; Jean-Guy Meunier; Nicolas Payette; Jean-François Chartier,"Sainte-Marie, Maxime B.:Université du Québec à Montréal (UQAM), Laboratoire d'analyse cognitive de l'information (LANCI), Montreal, Quebec, Canada;  Meunier, Jean-Guy:Université du Québec à Montréal (UQAM), Laboratoire d'analyse cognitive de l'information (LANCI), Montreal, Quebec, Canada;  Payette, Nicolas:Université du Québec à Montréal (UQAM), Laboratoire d'analyse cognitive de l'information (LANCI), Montreal, Quebec, Canada;  Chartier, Jean-François:Université du Québec à Montréal (UQAM), Laboratoire d'analyse cognitive de l'information (LANCI), Montreal, Quebec, Canada",https://doi.org/10.1093/llc/fqr019,LLC
336,336,llc-336,Social network visualization from TEI data,2011,Marcus Bingenheimer; Jen-Jou Hung; Simon Wiles,"Bingenheimer, Marcus:Library and Information Center, Dharma Drum Buddhist College, Taiwan, R.O.C.;  Hung, Jen-Jou:Library and Information Center, Dharma Drum Buddhist College, Taiwan, R.O.C.;  Wiles, Simon:Library and Information Center, Dharma Drum Buddhist College, Taiwan, R.O.C.",https://doi.org/10.1093/llc/fqr020,LLC
337,337,llc-337,Text encoding and ontology—enlarging an ontology by semi-automatic generated instances,2011,Amélie Zöllner-Weber,"Zöllner-Weber, Amélie:The Wittgenstein Archives (WAB), University of Bergen, Norway",https://doi.org/10.1093/llc/fqr021,LLC
338,338,llc-338,Visual GISting: bringing together corpus linguistics and Geographical Information Systems,2011,Ian N. Gregory; Andrew Hardie,"Gregory, Ian N.:Department of History, Lancaster University, Lancaster, LA1 4YG, UK;  Hardie, Andrew:Department of Linguistics and English Language, Lancaster University, Lancaster, LA1 4YL, UK",https://doi.org/10.1093/llc/fqr022,LLC
339,339,llc-339,Non-traditional prosodic features for automated phrase break prediction,2011,Claire Brierley; Eric Atwell,"Brierley, Claire:University of Leeds, UK;  Atwell, Eric:University of Leeds, UK",https://doi.org/10.1093/llc/fqr023,LLC
340,340,llc-340,The benefits and limits of computerization in conflict simulation,2011,Philip Sabin,"Sabin, Philip:King's College London, London, UK",https://doi.org/10.1093/llc/fqr024,LLC
341,341,llc-341,Introducing DH 2010,2011,John Nerbonne; Bethany Nowviskie; Paul Spence; Paul Vetch,"Nerbonne, John:Center for Language and Cognition, University of Groningen, Groningen, The Netherlands;  Nowviskie, Bethany:Scholars’ Lab, University of Virginia Library, Charlottesville, Virginia, USA;  Spence, Paul:Department of Digital Humanities (DDH), King's College London, London, UK;  Vetch, Paul:Department of Digital Humanities (DDH), King's College London, London, UK",https://doi.org/10.1093/llc/fqr025,LLC
342,342,llc-342,A tale of two cities: implications of the similarities and differences in collaborative approaches within the digital libraries and digital humanities communities,2011,Lynne Siemens; Richard Cunningham; Wendy Duff; Claire Warwick,"Siemens, Lynne:School of Public Administration, University of Victoria;  Cunningham, Richard:Acadia Digital Culture Observatory, Acadia University;  Duff, Wendy:Faculty of Information, University of Toronto;  Warwick, Claire:Department of Information Studies, University College London",https://doi.org/10.1093/llc/fqr028,LLC
343,343,llc-343,Evidence of intertextuality: investigating Paul the Deacon's Angustae Vitae,2011,Christopher W. Forstall; Sarah L. Jacobson; Walter J. Scheirer,"Forstall, Christopher W.:State University of New York at Buffalo, NY, USA;  Jacobson, Sarah L.:State University of New York at Buffalo, NY, USA;  Scheirer, Walter J.:University of Colorado at Colorado Springs, CO, USA",https://doi.org/10.1093/llc/fqr029,LLC
344,344,llc-344,Deeper Delta across genres and languages: do we really need the most frequent words?,2011,Jan Rybicki; Maciej Eder,"Rybicki, Jan:Pedagogical University, Kraków, Poland;  Eder, Maciej:Pedagogical University, Kraków, Poland",https://doi.org/10.1093/llc/fqr031,LLC
345,345,llc-345,In Memoriam Charles Douglas Bush (1948–2011),2011,Lisa Lena Opas-Hanninen; Julia Flanders; Dan O'Donnell; Michael Eberle-Sinatra; Ray Siemens; Edward Vanhoutte,"Opas-Hanninen, Lisa Lena:Chair ALLC;  Flanders, Julia:President ACH;  O'Donnell, Dan:President SDH/SEMI (English);  Eberle-Sinatra, Michael:President SDH/SEMI (French);  Siemens, Ray:Chair ADHO;  Vanhoutte, Edward:Editor-in-Chief LLC",https://doi.org/10.1093/llc/fqr032,LLC
346,346,llc-346,The Authorship Controversy of Sir Thomas More,1986,THOMAS MERRIAM,"MERRIAM, THOMAS:Basingstoke, UK",https://doi.org/10.1093/llc/1.2.104,LLC
347,347,llc-347,An Analysis of the Arguments,1986,NA,NA,https://doi.org/10.1093/llc/1.2.106,LLC
348,348,llc-348,Reports from Colloquia at Tübingen,1986,NA,NA,https://doi.org/10.1093/llc/1.2.109,LLC
349,349,llc-349,Diary,1986,NA,NA,https://doi.org/10.1093/llc/1.2.116,LLC
350,350,llc-350,News and Notes,1986,NA,NA,https://doi.org/10.1093/llc/1.2.117,LLC
351,351,llc-351,Book Reviews,1986,J. P. G. Roper,"Roper, J. P. G.:University of East Anglia",https://doi.org/10.1093/llc/1.2.120-a,LLC
352,352,llc-352,Book Reviews,1986,B. G. Maney,"Maney, B. G.:Leeds",https://doi.org/10.1093/llc/1.2.120-b,LLC
353,353,llc-353,Book Reviews,1986,Derek Lewis,"Lewis, Derek:University of Dundee  UK",https://doi.org/10.1093/llc/1.2.121,LLC
354,354,llc-354,Documents Received,1986,NA,NA,https://doi.org/10.1093/llc/1.2.122,LLC
355,355,llc-355,Notes for Contributors,1986,NA,NA,https://doi.org/10.1093/llc/1.2.123,LLC
356,356,llc-356,BOBRA: An Expert System for Automated Language Description as a Basis for Statistical Studies,1986,M BOOT,"BOOT, M:University of Utrecht  Netherlands",https://doi.org/10.1093/llc/1.2.55,LLC
357,357,llc-357,OCR: The Kurzweil Data Entry Machine,1986,SUSAN HOCKEY,"HOCKEY, SUSAN:Oxford University Computing Service  UK",https://doi.org/10.1093/llc/1.2.63,LLC
358,358,llc-358,‘Classical Shape’ of the Sophoclean Tragedy: An Application or a Computerized Minimization Procedure,1986,KAREL P. HUBKA,"HUBKA, KAREL P.:Institute of Classical Studies, University of London  England",https://doi.org/10.1093/llc/1.2.68,LLC
359,359,llc-359,"Publication and Politics, 1640–1661: An SPSS-based Account of the Thomason Collection of Civil War Tracts",1986,THOMAS N. CORNS,"CORNS, THOMAS N.:Department of English, University College of North Wales",https://doi.org/10.1093/llc/1.2.74,LLC
360,360,llc-360,"Méthodologie informatique dans les Humanités. I. Logiciels Bibliographie, d'après quelques périodiques spécialisés (1979–1984)",1986,R. PELLEN; J. PRADINES,"PELLEN, R.:Université de Poitiers;  PRADINES, J.:Université de Poitiers",https://doi.org/10.1093/llc/1.2.85,LLC
361,361,llc-361,A New Technique for Identifying Scientific/Technical Terms and Describing Science Texts: (An Interim Report),1986,YANG HUIZHONG,"HUIZHONG, YANG:Shanghai Jiao Tong University  PRC",https://doi.org/10.1093/llc/1.2.93,LLC
362,362,llc-362,Unification-based Diagnosis of Language Learners' Syntax Errors,1991,MICHAEL A. COVINGTON; KEVIN B. WEINRICH,"COVINGTON, MICHAEL A.:University of Georgia  Athens, USA;  WEINRICH, KEVIN B.:University of Georgia  Athens, USA",https://doi.org/10.1093/llc/6.3.149,LLC
363,363,llc-363,"George Wilkins and the First Two Acts of Pericles, New Evidence from Function Words",1991,MACD. P. JACKSON,"JACKSON, MACD. P.:University of Auckland  New Zealand",https://doi.org/10.1093/llc/6.3.155,LLC
364,364,llc-364,Collating with Microsoft WORD,1991,WILLIAM SCHIPPER,"SCHIPPER, WILLIAM:International Christian University  Tokyo 181, Japan",https://doi.org/10.1093/llc/6.3.164,LLC
365,365,llc-365,The Authorship of The Raigne of King Edward the Third,1991,M. W. A. SMITH,"SMITH, M. W. A.:University of Ulster  Northern Ireland",https://doi.org/10.1093/llc/6.3.166,LLC
366,366,llc-366,"One Writer, Two Authors: Resolving the Polemic of Latin America's First Published Novel",1991,ESTELLE IRIZARRY,"IRIZARRY, ESTELLE:Georgetown University  Washington, DC, USA",https://doi.org/10.1093/llc/6.3.175,LLC
367,367,llc-367,Plural Pronouns in Roman Plays by Shakespeare and Jonson,1991,D. H. CRAIG,"CRAIG, D. H.:University of Newcastle  NSW, Australia",https://doi.org/10.1093/llc/6.3.180,LLC
368,368,llc-368,"Integrating Database, Expert System, and Hypermedia: the Shakespeare CD-ROM Project",1991,H. JOACHIM NEUHAUS,"NEUHAUS, H. JOACHIM:Westfälische Wilhelms-Universitat Münster",https://doi.org/10.1093/llc/6.3.187,LLC
369,369,llc-369,"Theory, Methods and Applications: Some Examples in French Literature",1991,P. A. FORTIER,"FORTIER, P. A.:University of Manitoba  Canada",https://doi.org/10.1093/llc/6.3.192,LLC
370,370,llc-370,The Progress of SGML (Standard Generalized Markup Language): Extracts from a Comprehensive Bibliography,1991,ROBIN COVER; NICHOLAS DUNCAN; DAVID T. BARNARD,"COVER, ROBIN:Dallas Theological Seminary  Dallas, Texas, USA;  DUNCAN, NICHOLAS:Department of Computing and Information Science  Kingston, Ontario, Canada;  BARNARD, DAVID T.:Department of Computing and Information Science  Kingston, Ontario, Canada",https://doi.org/10.1093/llc/6.3.197,LLC
371,371,llc-371,"L'Informatique et les Humanités. Bibliographi 1988–1990, d'après quelques périodiques spécialisés",1991,RENÉ PELLEN; JACQUES PRADINES,"PELLEN, RENÉ:None;  PRADINES, JACQUES:None",https://doi.org/10.1093/llc/6.3.210,LLC
372,372,llc-372,News and Notes,1991,NA,NA,https://doi.org/10.1093/llc/6.3.222,LLC
373,373,llc-373,Documents Received,1991,NA,NA,https://doi.org/10.1093/llc/6.3.225,LLC
374,374,llc-374,Book Reviews,1991,Joel D. Goldfield,"Goldfield, Joel D.:Associate Professor of French Department of Foreign Languages Plymouth State College  Plymouth, USA",https://doi.org/10.1093/llc/6.3.226,LLC
375,375,llc-375,Book Reviews,1991,D. L. Mealand; T. B. Morton,"Mealand, D. L.:University of Edinburgh  Edinburgh, Scotland;  Morton, T. B.:Florida Atlantic University  Boca Raton, Florida USA",https://doi.org/10.1093/llc/6.3.228,LLC
376,376,llc-376,Efficient Storage of Ambiguous Structures in Textual Databases,1991,HANS VAN HALTEREN,"VAN HALTEREN, HANS:University of Nijmegen  The Netherlands",https://doi.org/10.1093/llc/6.4.233,LLC
377,377,llc-377,Generating and Parsing Classical Greek,1991,GREGORY CRANE,"CRANE, GREGORY:Harvard University  USA",https://doi.org/10.1093/llc/6.4.243,LLC
378,378,llc-378,Computer-aided Analysis of Repeated Structures: the Case of Stendhal's Armance,1991,GREGORY LESSARD; JEAN-JACQUES HAMM,"LESSARD, GREGORY:Queen's University  Kingston, Canada;  HAMM, JEAN-JACQUES:Queen's University  Kingston, Canada",https://doi.org/10.1093/llc/6.4.246,LLC
379,379,llc-379,Classification of Conjunctive Postpositions in Spoken Language Towards Speech Recognition,1991,JUNKO HOSAKA; TOSHIYUKI TAKEZAWA; TERUMASA EHARA†,"HOSAKA, JUNKO:ATR Interpreting Telephony Research Laboratories  Kyoto, Japan;  TAKEZAWA, TOSHIYUKI:ATR Interpreting Telephony Research Laboratories  Kyoto, Japan;  EHARA†, TERUMASA:ATR Interpreting Telephony Research Laboratories  Kyoto, Japan",https://doi.org/10.1093/llc/6.4.253,LLC
380,380,llc-380,Vocabulary Richness and the Prophetic Voice,1991,DAVID I. HOLMES,"HOLMES, DAVID I.:Bristol Polytechnic  UK",https://doi.org/10.1093/llc/6.4.259,LLC
381,381,llc-381,The Computer as a ‘Teacher’ for Grammar and Style Errors,1991,BETTINA HARRIEHAUSEN-MUHLBAUER,"HARRIEHAUSEN-MUHLBAUER, BETTINA:Institute for Knowledge Based Systems  Heidelberg, Germany",https://doi.org/10.1093/llc/6.4.269,LLC
382,382,llc-382,Computer Analysis of Alliteration in Beowulf Using Distinctive Feature Theory,1991,C. R. BARQUIST; D. L. SHIE,"BARQUIST, C. R.:University of the District of Columbia  USA;  SHIE, D. L.:University of the District of Columbia  USA",https://doi.org/10.1093/llc/6.4.274,LLC
383,383,llc-383,Arizona State University ACH-ALLC '91 Conference Report,1991,G. DIXON,"DIXON, G.:Institute of Advanced Studies, Manchester Polytechnic  UK",https://doi.org/10.1093/llc/6.4.281,LLC
384,384,llc-384,Reports from Colloquia at Tübingen,1991,D. Kottke,"Kottke, D.:None",https://doi.org/10.1093/llc/6.4.285,LLC
385,385,llc-385,Representatives' Reports,1991,NA,NA,https://doi.org/10.1093/llc/6.4.294,LLC
386,386,llc-386,"Minutes of the Annual General Meeting of the Association for Literary and Liguistic Computing, held at Arizona State University, Tempe, on Tuesday, 19 March 1991 at 2.15 p.m.",1991,NA,NA,https://doi.org/10.1093/llc/6.4.298,LLC
387,387,llc-387,SUSAN HOCKEY,1991,SUSAN HOCKEY,"HOCKEY, SUSAN:Rutgers and Princeton Universities",https://doi.org/10.1093/llc/6.4.299,LLC
388,388,llc-388,Treasurer's Report: Financial year 1 January 1990–31 December 1990,1991,J. ROPER,"ROPER, J.:University of East Anglia",https://doi.org/10.1093/llc/6.4.300,LLC
389,389,llc-389,Secretary's Report,1991,T. N. CORNS,"CORNS, T. N.:University of Wales  UK",https://doi.org/10.1093/llc/6.4.301,LLC
390,390,llc-390,Editing: the First Five Years,1991,GORDON DIXON,"DIXON, GORDON:Institute of Advanced Studies Manchester Polytechnic  UK",https://doi.org/10.1093/llc/6.4.302,LLC
391,391,llc-391,Diary,1991,NA,NA,https://doi.org/10.1093/llc/6.4.307,LLC
392,392,llc-392,News and Notes,1991,NA,NA,https://doi.org/10.1093/llc/6.4.312,LLC
393,393,llc-393,Notes on Contributors,1991,NA,NA,https://doi.org/10.1093/llc/6.4.315,LLC
394,394,Digital Scholarship in the Humanities-394,"A methodology for the semiautomatic annotation of EPEC-RolSem, a Basque corpus labeled at predicate level following the PropBank-VerbNet model",2015,Ainara Estarrona; Izaskun Aldezabal; Arantza Díaz de Ilarraza; María Jesús Aranzabe,"Estarrona, Ainara:IXA NLP Group, University of the Basque Country, UPV/EHU, Spain;  Aldezabal, Izaskun:IXA NLP Group, University of the Basque Country, UPV/EHU, Spain;  Díaz de Ilarraza, Arantza:IXA NLP Group, University of the Basque Country, UPV/EHU, Spain;  Aranzabe, María Jesús:IXA NLP Group, University of the Basque Country, UPV/EHU, Spain",https://doi.org/10.1093/llc/fqv001,DSH
395,395,Digital Scholarship in the Humanities-395,Translation as an aid to ELT: Using an English–Spanish parallel corpus (P-ACTRES) to study English both and its Spanish counterparts,2015,Belen Labrador,"Labrador, Belen:University of León, Spain",https://doi.org/10.1093/llc/fqv009,DSH
396,396,Digital Scholarship in the Humanities-396,Rolling stylometry,2015,Maciej Eder,"Eder, Maciej:Polish Academy of Sciences, Institute of Polish Language, and Pedagogical University of Kraków, Kraków, Poland",https://doi.org/10.1093/llc/fqv010,DSH
397,397,Digital Scholarship in the Humanities-397,Politics and the German language: Testing Orwell’s hypothesis using the Google N-Gram corpus,2015,Paul Caruana-Galizia,"Caruana-Galizia, Paul:Institute of Economic History, Humboldt University Berlin, Berlin, Germany",https://doi.org/10.1093/llc/fqv011,DSH
398,398,Digital Scholarship in the Humanities-398,"IMPACT: A tool for transcribing and commenting on oral data, for teaching, learning, and research",2015,Jérôme Jacquin,"Jacquin, Jérôme:University of Lausanne, Switzerland and Victoria University of Wellington, New Zealand",https://doi.org/10.1093/llc/fqv012,DSH
399,399,llc-399,Sharing and debating Wittgenstein by using an ontology,2013,Alois Pichler; Amélie Zöllner-Weber,"Pichler, Alois:The Wittgenstein Archives at the University of Bergen, Bergen, Norway;  Zöllner-Weber, Amélie:The Wittgenstein Archives at the University of Bergen, Bergen, Norway",https://doi.org/10.1093/llc/fqt049,LLC
400,400,Digital Scholarship in the Humanities-400,Corpus-Based Studies of Translational Chinese in English–Chinese Translation (2015). Richard Xiao and Xianyao Hu.,2016,Wenchao Su; Defeng Li,"Su, Wenchao:Centre for Studies of Translation, Interpreting and Cognition (CSTIC), FAH, University of Macau, Taipa, Macau;  Li, Defeng:Centre for Studies of Translation, Interpreting and Cognition (CSTIC), FAH, University of Macau, Taipa, Macau",https://doi.org/10.1093/llc/fqw032,DSH
401,401,Digital Scholarship in the Humanities-401,"Digital Scholarly Editing. Theories, Models and Methods. Elena Pierazzo.",2016,Elena Spadini; Anna-Maria Sichani,"Spadini, Elena:Huygens ING (KNAW) / Sapienza University of Rome;  Sichani, Anna-Maria:Huygens ING (KNAW) / University of Ioannina, Greece",https://doi.org/10.1093/llc/fqw033,DSH
402,402,llc-402,Towards a digital geography of Hispanic Baroque art,2013,Juan Luis Suárez; Fernando Sancho-Caparrini; Elika Ortega; Javier de la Rosa; Natalia Caldas; David Brown,"Suárez, Juan Luis:The CulturePlex Lab, University of Western Ontario;  Sancho-Caparrini, Fernando:Department of Computer Science and Artificial Intelligence, University of Seville;  Ortega, Elika:The CulturePlex Lab, University of Western Ontario;  Rosa, Javier de la:The CulturePlex Lab, University of Western Ontario;  Caldas, Natalia:The CulturePlex Lab, University of Western Ontario;  Brown, David:The CulturePlex Lab, University of Western Ontario",https://doi.org/10.1093/llc/fqt050,LLC
403,403,llc-403,"The myth of the new: Mass digitization, distant reading, and the future of the book",2013,Paul Gooding; Melissa Terras; Claire Warwick,"Gooding, Paul:UCL Centre for Digital Humanities, University College London, London, UK;  Terras, Melissa:UCL Centre for Digital Humanities, University College London, London, UK;  Warwick, Claire:UCL Centre for Digital Humanities, University College London, London, UK",https://doi.org/10.1093/llc/fqt051,LLC
404,404,llc-404,Visual workflow interfaces for editorial processes,2013,Luciano Frizzera; Milena Radzikowska; Geoff Roeder; Ernesto Peña; Teresa Dobson; Stan Ruecker; Geoffrey Rockwell; Susan Brown,"Frizzera, Luciano:University of Alberta, Canada;  Radzikowska, Milena:Mount Royal University, Canada;  Roeder, Geoff:University of British Columbia, Canada;  Peña, Ernesto:University of British Columbia, Canada;  Dobson, Teresa:University of British Columbia, Canada;  Ruecker, Stan:IIT Institute of Design, USA;  Rockwell, Geoffrey:University of Alberta, Canada;  Brown, Susan:Guelph University, Canada;  , :None",https://doi.org/10.1093/llc/fqt053,LLC
405,405,llc-405,Complex network perspective on graphic form system of Hanzi,2013,Jiajia Hu; Ning Wang,"Hu, Jiajia:School of Chinese Language and Literature, Beijing Normal University, Beijing 100875, China and Research Center for Folklore, Classics and Chinese Characters, Beijing Normal University, Beijing 100875, China;  Wang, Ning:School of Chinese Language and Literature, Beijing Normal University, Beijing 100875, China and Research Center for Folklore, Classics and Chinese Characters, Beijing Normal University, Beijing 100875, China",https://doi.org/10.1093/llc/fqt057,LLC
406,406,llc-406,Linked data driven multilingual access to diverse Japanese Ukiyo-e databases by generating links dynamically,2013,Biligsaikhan Batjargal; Takeo Kuyama; Fuminori Kimura; Akira Maeda,"Batjargal, Biligsaikhan:Kinugasa Research Organization, Ritsumeikan University, Japan;  Kuyama, Takeo:Graduate School of Information Science and Engineering, Ritsumeikan University, Japan;  Kimura, Fuminori:Kinugasa Research Organization, Ritsumeikan University, Japan;  Maeda, Akira:College of Information Science and Engineering, Ritsumeikan University, Japan",https://doi.org/10.1093/llc/fqt058,LLC
